LOCATION,SHOT_NUMBER,PERIOD,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,FGM,opposing_team,GAME_CLOCK_sec
A,8,4,12.3,13,13.2,25.3,3,4.2,0,PHX,514
H,4,1,10.5,4,7.7,4.4,2,1,0,MEM,166
H,4,2,13.8,0,0.9,24.5,3,3.6,0,CHA,604
A,2,1,16.4,0,0.9,25.3,3,5.3,0,HOU,608
H,2,4,20.7,0,0,4.4,2,1.5,0,ATL,111
A,6,2,3.6,0,1,22.8,3,4.9,1,BOS,546
H,3,3,11.3,1,6.4,5.5,2,3.3,1,IND,289
H,2,2,12.3,0,0.7,20,2,3.9,1,DET,326
H,1,1,13.4,0,2.1,15.3,2,5.2,1,BKN,643
H,4,1,8,0,0.9,24.4,3,6,1,LAL,198
H,11,4,14.4,11,9.6,5.4,2,4.9,1,DET,518
A,5,2,24,0,0,2.6,2,4.1,1,BKN,218
A,3,2,14,11,11,3.8,2,2.8,1,MIL,417
A,8,4,0,0,0,2.3,2,0.5,1,ATL,192
H,2,2,16.9,0,0,2.2,2,4,1,DET,666
H,7,3,15.6,0,1,24.2,3,5.4,0,OKC,484
A,5,3,23.3,0,1.6,4,2,1.7,1,NYK,573
A,1,2,0,0,0.8,0.5,2,0,0,LAL,382
A,10,3,13.1,0,0.7,24.8,3,3.8,0,WAS,368
A,2,2,17.1,0,0.7,22.4,3,5.2,1,SAS,687
A,3,2,14.4,0,0.9,14.4,2,3.9,1,NOP,710
A,3,1,13.1,2,2,12.3,2,1.8,0,NYK,512
A,1,2,13.1,1,1.6,5.6,2,2.1,1,DET,247
A,2,2,2,0,0.8,21.9,2,5.4,0,UTA,499
H,5,2,5.2,2,2.8,24.7,3,3.1,1,DAL,210
H,1,1,8.3,0,0.8,24.4,3,5.4,0,UTA,655
A,2,1,9.6,6,5.7,14.8,2,5.9,0,PHI,50
A,7,4,20.2,0,0.6,2.5,2,6,1,BKN,510
A,3,1,13.2,5,5.8,24,3,2.7,0,SAC,505
A,16,3,3,0,0,20.7,2,2.9,0,NYK,224
A,14,4,13.6,0,0.8,25.2,3,7,0,PHI,67
A,11,3,17.3,10,6.7,21.7,2,3.5,0,SAC,453
A,13,3,0,0,0,19.8,3,2.8,0,IND,1
H,16,3,7.7,0,1.2,17,2,5.9,1,OKC,502
H,6,4,13.8,5,5.4,7.3,2,1.9,0,GSW,483
A,11,2,17.4,0,4.4,19.5,2,4.7,1,CLE,306
A,13,3,9.8,0,1,15.9,2,4.1,1,LAL,209
A,6,2,16.6,2,2.6,20.3,2,0.8,1,IND,478
H,6,1,15.8,1,3.5,1.5,2,2.3,1,MIA,61
H,5,2,14.8,0,1,20.3,2,4,0,UTA,53
A,26,5,13.6,10,9.4,16,2,6.8,1,WAS,123
H,5,2,12.3,0,3.3,20,2,4.6,0,SAC,571
H,4,4,15.7,0,1.5,24.4,3,8.9,1,OKC,673
A,14,4,15.1,2,2.9,4.2,2,0.9,0,HOU,171
H,6,2,8.8,0,0.7,23.9,3,7.3,0,DEN,187
A,3,1,17.1,0,1.4,2.3,2,0.6,1,DEN,538
A,20,4,4.5,2,2.2,6.6,2,3,1,PHI,318
H,5,4,15,0,1.3,2.3,2,0.2,1,NOP,666
A,6,2,3.8,1,2.7,8.1,2,2.5,0,ORL,159
A,13,4,16,0,0.8,5.8,2,3.9,0,CHA,619
H,9,3,12.6,2,3.6,5.6,2,0.5,0,OKC,463
A,12,3,16.8,0,0.9,3.6,2,0.6,1,SAC,157
H,7,4,4.1,3,3.4,25.3,3,4.1,0,BKN,97
A,15,4,1,3,3.1,20.7,2,3.1,1,NOP,246
A,14,4,23.9,0,0.6,4.2,2,1.9,1,MIN,211
A,7,4,12,11,12.4,13.5,2,2.5,1,UTA,620
H,1,1,17.6,0,0.8,4.5,2,5,1,WAS,488
H,3,2,6.3,1,2,25.9,3,15.7,0,CLE,147
A,2,1,11.1,1,1.4,19.1,2,4,0,NOP,221
A,6,3,11.6,0,0.8,17.7,2,7.2,1,TOR,488
A,5,3,12,0,0.8,22.2,2,9.2,1,BOS,107
H,4,2,19.7,0,0.9,24.4,3,13.4,0,DET,276
A,4,2,12.8,1,2.4,23.8,3,3.6,0,LAC,593
H,7,2,12.8,1,3.9,25.1,3,3.7,0,MIA,189
H,6,3,0.6,2,4.2,9,2,2.2,0,CHA,609
H,13,4,24,0,0.7,3.4,2,3.3,1,CLE,475
A,15,4,11.6,1,4.9,3.1,2,2.1,1,UTA,555
H,6,4,15.5,0,1,18.2,2,6.8,0,UTA,634
A,4,2,7.5,0,0.7,3,2,3.3,0,BOS,508
H,8,2,24,0,1.1,2.7,2,3.9,0,DAL,394
H,16,4,1.8,0,1.7,18.7,2,2.4,0,NOP,269
H,5,2,0.3,1,1.6,9.2,2,4.2,0,PHX,357
A,3,2,15.4,0,1.1,25.9,3,4.7,1,IND,563
A,10,2,1.7,2,2.5,13.2,2,3.4,0,MEM,4
H,11,4,20.3,0,0,5.8,2,2.3,0,CHA,334
H,10,3,17.6,5,5.6,7.2,2,1.7,0,BOS,143
H,1,1,18.1,0,1.3,3.9,2,1.8,1,NOP,607
A,2,1,13.6,11,10.6,14.6,2,4.1,0,DET,259
H,5,3,3.5,0,0.9,25.2,3,8.7,0,MIL,5
H,7,1,13.3,1,1.4,7.5,2,2.8,0,DAL,425
A,6,3,19.2,0,1,16.7,2,4,0,PHI,154
H,2,1,21,1,2.9,3.5,2,0.2,1,PHI,677
A,3,1,13.8,0,0.9,8.6,2,3.1,0,CHA,309
H,5,4,17.4,0,1,24.6,3,6.7,0,BKN,646
H,3,3,11,0,0.8,25.9,3,6.9,0,BOS,49
H,5,1,10,1,4.7,0.3,2,3.7,1,ORL,253
H,10,3,16.5,0,1.1,25.4,3,5.6,1,DEN,605
H,3,1,16.9,2,2,22.7,2,3.5,0,SAC,458
H,4,2,12.9,13,11.6,2.6,2,1.2,0,MIL,321
A,5,2,8.3,0,0.8,19.2,2,5.6,1,ORL,495
A,2,1,7,0,0.8,22,3,5.3,0,OKC,409
A,3,2,22.5,1,1.3,4.3,2,6.6,1,LAC,570
H,2,1,20.8,2,3.9,2.3,2,18.6,1,BKN,678
H,12,3,12.2,2,2.8,6.1,2,3.1,0,IND,268
A,11,4,14.3,11,8.8,3.9,2,0.8,1,POR,257
H,4,3,10.5,2,2.5,6.5,2,3,1,MEM,97
A,7,3,0,7,4.7,12.7,2,2.1,0,GSW,0
A,4,2,24,0,0,3.2,2,0,1,CLE,116
A,4,1,15.1,0,0.7,12.4,2,4,1,ORL,498
H,3,1,7.1,3,5.2,11.1,2,2.3,1,PHX,365
H,8,3,19.9,0,1.1,2.6,2,5.2,1,CLE,411
H,3,1,21,0,1.1,17.6,2,3.9,0,MIN,304
A,11,3,0,0,0,4.6,2,4,0,CLE,0
A,1,4,6.6,0,0.9,3.4,2,2.5,0,UTA,569
A,15,4,6.2,1,4.4,8.4,2,4.7,1,POR,258
H,6,2,1.7,0,0.7,0.4,2,2.7,0,CHI,155
H,1,2,15.2,6,7.8,3.8,2,5.3,0,PHX,624
H,16,4,14.2,0,0.8,16.1,2,9.1,0,POR,71
H,2,1,20.3,3,3.1,24.7,3,6.4,0,LAL,374
H,6,2,0.8,1,2.3,7,2,4.2,1,PHX,289
A,3,2,19.6,0,0.8,3.1,2,1.3,1,BOS,395
H,11,4,6,2,2.7,6.2,2,1.6,0,PHX,182
A,5,4,8,0,0.7,24.5,3,7.6,0,PHX,411
H,10,3,8.6,0,0.9,12,2,5.3,0,CLE,352
H,3,2,9.2,0,0.8,24.6,3,6.4,0,OKC,435
H,3,2,12.8,0,0.9,16.9,2,3.1,1,MEM,523
H,2,2,0,0,0.7,30.7,3,4.5,0,LAL,1
A,1,2,14.5,0,2.1,2.8,2,2.5,0,NOP,710
A,21,3,10.5,4,6.1,16.9,2,2.8,0,DAL,424
H,3,2,5.1,6,4.9,21.4,2,2.8,1,PHX,683
A,8,3,4.3,14,9.1,21.3,2,3.5,0,PHX,346
H,11,4,24,0,0.2,1.7,2,1.7,0,UTA,387
A,11,3,13.7,0,1,24.4,3,14.7,0,BKN,500
H,7,4,15.6,0,0.8,21.8,3,5,0,CLE,395
A,5,2,13.9,2,3,15.4,2,4.7,0,PHI,344
A,10,4,16.2,1,1.2,2.7,2,3.3,1,MEM,471
H,2,1,17.7,0,0.7,2.2,2,3.4,1,UTA,299
H,10,4,12.4,1,1.7,24.8,3,5.2,0,TOR,603
H,24,5,6.4,6,6.9,2.8,2,1.4,0,GSW,225
H,1,1,17.9,0,0.8,21.3,2,2.7,0,OKC,289
H,3,2,12.9,0,1,25.1,3,5.6,1,BKN,62
A,3,2,10.7,0,0,3.4,2,3.8,0,LAC,194
A,5,2,7,1,3,6.8,2,0.2,0,TOR,473
A,7,2,21.2,0,0.8,2.6,2,3.5,1,UTA,222
H,10,2,18,6,5.4,26.6,3,7.1,1,SAC,110
A,10,3,8.6,6,4.5,21,2,4.2,0,SAS,252
H,3,2,13.5,2,3.7,9.9,2,2.6,0,IND,351
H,6,1,18.2,1,1.8,1.8,2,3.1,1,GSW,184
